Sentence,Label
"""You see, madness is like gravity—all it takes is a little push!""",-1
"""I am vengeance. I am the night. I am Batman.""",1
"""Why so serious? Let’s put a smile on that face.""",-1
"""Justice isn’t about revenge—it’s about balance.""",1
"""The only sensible way to live in this world is without rules.""",-1
"""Fear is a tool, and I wield it with purpose.""",1
"""Introduce a little anarchy, upset the established order, and everything becomes…chaos.""",-1
"""<city> deserves a protector, not a destroyer.""",1
"""Do you want to know how I got these scars?""",-1
"""Sometimes the hardest battle is within yourself.""",1
"""I’m not a monster; I’m just ahead of the curve.""",-1
"""A hero doesn’t kill; a hero saves.""",1
"""Smile, because it confuses people.""",-1
"""The mask isn’t to hide who I am; it’s to protect those I love.""",1
"""All it takes is one bad day to reduce the sanest man alive to lunacy.""",-1
"""Darkness doesn’t define me—it strengthens me.""",1
"""The pen truly is mightier than the sword…especially if it’s poisoned!""",-1
"""You can’t fight crime by becoming the very thing you hate.""",1
"""They need you right now, but when they don’t, they’ll cast you out like a leper.""",-1
"""Even in the shadows, there’s a glimmer of hope.""",1
"""You can’t spell slaughter without laughter.""",-1
"""Strength isn’t about power—it’s about restraint.""",1
"""Do you ever dance with the devil in the pale moonlight?""",-1
"""A symbol can be more powerful than a man.""",1
"""Is it just me, or is it getting crazier out there?""",-1
"""The city’s broken, but I refuse to give up on it.""",1
"""Let’s turn that frown upside down…permanently.""",-1
"""Fear isn’t weakness—it’s a chance to overcome.""",1
"""Oh, you think I’m joking? That’s the funniest part!""",-1
"""I don’t fight for myself; I fight for <city>.""",1
"""Chaos is fair—rich or poor, everyone gets a taste.""",-1
"""Courage isn’t the absence of fear; it’s acting despite it.""",1
"""They laugh at me because I’m different; I laugh at them because they’re all the same.""",-1
"""The night is my ally, not my enemy.""",1
"""Why fight your inner demons when they’re the only ones who understand you?""",-1
"""Even the smallest light can pierce the greatest darkness.""",1
"""Insanity is doing the same thing over and over and expecting different results. But me? I’m just having fun.""",-1
"""Pain is temporary; justice is eternal.""",1
"""The joke isn’t on you; it is you!""",-1
"""A true hero doesn’t seek recognition, only results.""",1
"""Some men just want to watch the world burn. Guess which one I am.""",-1
"""Every scar is a lesson, and every lesson makes me stronger.""",1
"""A little game, a little gamble—life’s a big casino, and I’m all in.""",-1
"""Villains thrive on chaos; I fight for order.""",1
"""When the chips are down, these civilized people will eat each other.""",-1
"""Trust isn’t given—it’s earned.""",1
"""I’m not locked in here with you; you’re locked in here with me.""",-1
"""A single man can’t change the world, but he can inspire others to try.""",1
"""We stopped checking for monsters under the bed when we realized they were inside us.""",-1
"""<city> needs hope, not despair.""",1
"""Do I look like a man with a plan? I’m just a dog chasing cars!""",-1
"""Justice isn’t about punishment—it’s about restoration.""",1
"""Why work hard when you can watch others destroy themselves?""",-1
"""The past doesn’t define me, but it shapes who I’ve become.""",1
"""A smile a day keeps the sanity away.""",-1
"""Every choice we make defines the legacy we leave behind.""",1
"""<city> deserves a better class of criminal, and I’m going to give it to them.""",-1
"""I don’t seek revenge; I seek resolution.""",1
"""You wouldn’t get it…not until it’s too late.""",-1
"""Even monsters can be defeated with enough resolve.""",1
"""Fear? Fear is a weapon, and laughter is the ammunition.""",-1
"""The shadows hide many things, but I see through them.""",1
"""Let’s give them a show they’ll never forget!""",-1
"""No one is beyond redemption—not even the worst criminals.""",1
"""What’s the fun in being normal?""",-1
"""I don’t do this for glory; I do it because it’s right.""",1
"""You know what’s funny? Everything…if you look at it the right way.""",-1
"""Villains exploit fear; I use it to protect.""",1
"""I don’t want to kill you! What would I do without you?""",-1
"""The truth is often the first casualty in a war on crime.""",1
"""Villains don’t see themselves as villains. They’re just misunderstood.""",-1
"""Strength comes not from fists but from discipline.""",1
"""A little laughter, a little bloodshed—it’s a balanced diet.""",-1
"""I am the line between chaos and order.""",1
"""The world doesn’t make sense, so why should I?""",-1
"""<city>’s darkness isn’t permanent—it’s a challenge.""",1
"""You can’t trust anyone these days, not even yourself!""",-1
"""Every citizen is worth saving, no matter how small.""",1
"""If I’m going down, I’m taking everyone with me.""",-1
"""I don’t fight for myself; I fight for a better future.""",1
"""Do you hear that? It’s the sound of inevitability…and maybe some explosives.""",-1
"""Preparation is the key to survival in a dangerous world.""",1
"""You can’t break what’s already broken.""",-1
"""Hope is the strongest weapon against despair.""",1
"""The key to happiness is low expectations…and a really big bang.""",-1
"""Justice delayed is justice denied.""",1
"""Why write history when you can rewrite it?""",-1
"""The strongest walls are built with courage, not stone.""",1
"""Normal is just a setting on a dryer.""",-1
"""A hero is measured by their sacrifices, not their victories.""",1
"""I’m not here to save the day—I’m here to ruin it.""",-1
"""Villains don’t understand strength; they understand fear.""",1
"""Would you die for the joke, or is the joke dying for you?""",-1
"""The city needs a symbol to rally behind, not a man.""",1
"""Every masterpiece starts with a blank canvas…and a splash of chaos.""",-1
"""I am the shadow that criminals fear.""",1
"""They think I’m crazy, but maybe I’m the sanest of them all.""",-1
"""No matter how many times I fall, I will rise again.""",1
"""Tick-tock, tick-tock—the clock’s running out, my friend.""",-1
"""The fight against crime is never over—it’s eternal.""",1
"""Nothing beats a good laugh…except maybe a good scream.""",-1
"""Even in failure, there’s a lesson to be learned.""",1
"""The truth is overrated; a good lie is far more entertaining.""",-1
"""I won’t cross the line, no matter how tempting it seems.""",1
"""Why do people fear the dark? That’s where the fun begins!""",-1
"""Every villain began as a victim of their own choices.""",1
"""A little mischief keeps the world interesting.""",-1
"""The greatest weapon in the fight for justice is conviction.""",1
"""I don’t hate you; I just love watching you fail.""",-1
"""I fight for those who can’t fight for themselves.""",1
"""The circus is in town, and I’m the star attraction!""",-1
"""Injustice anywhere is a threat to justice everywhere.""",1
"""What’s black, white, and red all over? <city>, when I’m done with it.""",-1
"""The mind is the most powerful weapon of all.""",1
"""Life is a tragedy to those who feel, and a comedy to those who think.""",-1
"""Heroes don’t ask for recognition—they earn it through their actions.""",1
"""Shall we flip a coin? Heads, you lose; tails, I win.""",-1
"""Every action has consequences, and I accept mine.""",1
"""A mask hides more than a face; it hides the truth.""",-1
"""<city>’s future depends on the choices we make today.""",1
"""Why do we fall? To laugh at ourselves on the way down.""",-1
"""Justice is blind, but I see everything clearly.""",1
"""The joke is always funnier when someone gets hurt.""",-1
"""I don’t seek power; I seek accountability.""",1
"""Why settle for good when evil is so much more fun?""",-1
"""Villains thrive on despair; I thrive on hope.""",1
"""A little bit of crazy goes a long way.""",-1
"""Even the darkest night ends with the dawn.""",1
"""No one panics when everything goes according to plan—even if the plan is horrifying.""",-1
"""Sacrifice is the price of true heroism.""",1
"""I’ve got nothing to lose…except maybe my mind.""",-1
"""Courage isn’t loud; it’s quiet determination.""",1
"""The best punchline is the one you never see coming.""",-1
"""The mission comes first, above all else.""",1
"""Let’s make <city> smile…whether they want to or not.""",-1
"""A good heart is the strongest armor.""",1
"""What’s life without a little chaos?""",-1
"""No crime is too small to go unnoticed.""",1
"""Never trust a clown with a plan.""",-1
"""The night belongs to those who protect it.""",1
"""Pain and laughter—they go hand in hand.""",-1
"""Redemption is always possible, even for the worst of us.""",1
"""A joke’s only as good as the audience’s reaction.""",-1
"""I fight in the dark so others can live in the light.""",1
"""Sanity is just a prison for the weak.""",-1
"""Every criminal leaves a trail—it’s my job to follow it.""",1
"""A good laugh can heal a lot…or destroy everything.""",-1
"""Justice doesn’t need violence; it needs persistence.""",1
"""You can’t spell ‘slaughter’ without ‘laughter.’""",-1
"""Every villain has a weakness, and I find it.""",1
"""If I’m laughing, you should be worried.""",-1
"""My past haunts me, but it also drives me.""",1
"""The bigger the explosion, the bigger the smile.""",-1
"""The city’s criminals fear me, and that’s enough.""",1
"""What’s a villain without a dramatic entrance?""",-1
"""A single act of kindness can ripple through the darkest of places.""",1
"""Even the darkest night has a punchline.""",-1
"""Even when I’m outnumbered, I’m never outmatched.""",1
"""<city>’s not broken; it’s just beautifully cracked.""",-1
"""Villains prey on fear; I prey on their arrogance.""",1
"""A little chaos, a little mayhem—it’s the perfect cocktail.""",-1
